Order details id,Order id,Order date,Order time,Item_id,Items name,Category,Price,Revenue,Month,Day,Hour
1,1,01-01-2023,11:38:36,109,Korean Beef Bowl,Asian,17.95,17.95,Jan,Sunday,11
2,2,02-01-2023,11:57:40,108,Tofu Pad Thai,Asian,14.5,14.5,Jan,Monday,11
3,2,03-01-2023,11:57:40,124,Spaghetti,Italian,14.5,14.5,Jan,Tuesday,11
4,2,04-01-2023,11:57:40,117,Chicken Burrito,Mexican,12.95,12.95,Jan,Wednesday,11
5,2,05-01-2023,11:57:40,129,Mushroom Ravioli,Italian,15.5,15.5,Jan,Thursday,11
6,2,06-01-2023,11:57:40,106,French Fries,American,7,7,Jan,Friday,11
7,3,07-01-2023,12:12:28,117,Chicken Burrito,Mexican,12.95,12.95,Jan,Saturday,12
8,3,08-01-2023,12:12:28,119,Chicken Torta,Mexican,11.95,11.95,Jan,Sunday,12
9,4,09-01-2023,12:16:31,117,Chicken Burrito,Mexican,12.95,12.95,Jan,Monday,12
10,5,10-01-2023,12:21:30,117,Chicken Burrito,Mexican,12.95,12.95,Jan,Tuesday,12
11,6,11-01-2023,12:29:36,101,Hamburger,American,12.95,12.95,Jan,Wednesday,12
12,6,12-01-2023,12:29:36,114,Potstickers,Asian,9,9,Jan,Thursday,12
13,7,13-01-2023,12:50:37,123,Chips & Guacamole,Mexican,9,9,Jan,Friday,12
14,8,14-01-2023,12:51:37,123,Chips & Guacamole,Mexican,9,9,Jan,Saturday,12
15,9,15-01-2023,12:52:01,108,Tofu Pad Thai,Asian,14.5,14.5,Jan,Sunday,12
16,9,16-01-2023,12:52:01,126,Fettuccine Alfredo,Italian,14.5,14.5,Jan,Monday,12
17,9,17-01-2023,12:52:01,110,Pork Ramen,Asian,17.95,17.95,Jan,Tuesday,12
18,9,18-01-2023,12:52:01,117,Chicken Burrito,Mexican,12.95,12.95,Jan,Wednesday,12
19,9,19-01-2023,12:52:01,117,Chicken Burrito,Mexican,12.95,12.95,Jan,Thursday,12
20,9,20-01-2023,12:52:01,129,Mushroom Ravioli,Italian,15.5,15.5,Jan,Friday,12
21,9,21-01-2023,12:52:01,122,Chips & Salsa,Mexican,7,7,Jan,Saturday,12
22,9,22-01-2023,12:52:01,130,Shrimp Scampi,Italian,19.95,19.95,Jan,Sunday,12
23,9,23-01-2023,12:52:01,132,Eggplant Parmesan,Italian,16.95,16.95,Jan,Monday,12
